transaction_id,customer_id,transaction_date,transaction_time,customer_age_group,customer_location_city,customer_location_state,zip_code,membership_tier,product_category,product_name,quantity,unit_price,total_amount,payment_method,transaction_month,transaction_quarter,transaction_year,month_year,day_of_week,customer_first_purchase_date,days_since_first_purchase
TXN033401,CUST00800,2024-07-01,10:53,56+,Phoenix,AZ,46561,Platinum,Topicals,Bath Bomb 100mg,1,26.13,26.13,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN034920,CUST00272,2024-07-01,13:19,26-35,Portland,OR,50064,Gold,Concentrates,Wax 1g,1,47.71,47.71,Credit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN034921,CUST00272,2024-07-01,15:25,26-35,Portland,OR,32878,Gold,Edibles,Mints 50mg,1,14.87,14.87,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN040600,CUST00073,2024-07-01,15:21,56+,San Diego,CA,72669,Platinum,Topicals,THC Balm 200mg,1,34.68,34.68,Credit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN045210,CUST00932,2024-07-01,18:00,36-45,Boulder,CO,11834,Silver,Concentrates,Shatter 1g,1,46.66,46.66,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN045211,CUST00932,2024-07-01,19:37,36-45,Boulder,CO,25004,Silver,Vapes,Indica Cart 0.5g,2,33.98,67.96,Cash,7,3,2024,2024-07,Monday,2024-07-01,0
TXN045212,CUST00932,2024-07-01,14:50,36-45,Boulder,CO,55386,Silver,Accessories,Rolling Papers,3,4.8,14.399999999999999,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN045690,CUST01175,2024-07-01,16:14,26-35,Seattle,WA,11331,Standard,Flower,OG Kush,1,41.39,41.39,Cash,7,3,2024,2024-07,Monday,2024-07-01,0
TXN045691,CUST01175,2024-07-01,12:16,26-35,Seattle,WA,96831,Standard,Concentrates,Wax 1g,1,49.96,49.96,Credit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN052540,CUST00980,2024-07-01,19:01,56+,Boulder,CO,75547,Silver,Edibles,Brownies 100mg,1,20.01,20.01,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN052541,CUST00980,2024-07-01,16:45,56+,Boulder,CO,17531,Silver,Concentrates,Distillate 1g,1,54.66,54.66,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN052542,CUST00980,2024-07-01,16:47,56+,Boulder,CO,60168,Silver,Flower,Granddaddy Purple,2,39.16,78.32,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN054590,CUST00578,2024-07-01,18:30,36-45,Seattle,WA,93865,Standard,Edibles,Chocolate Bar 100mg,1,22.9,22.9,Cash,7,3,2024,2024-07,Monday,2024-07-01,0
TXN008720,CUST01027,2024-07-02,17:12,46-55,Phoenix,AZ,19837,Platinum,Vapes,Indica Cart 0.5g,3,33.66,100.97999999999999,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN008721,CUST01027,2024-07-02,09:04,46-55,Phoenix,AZ,59177,Platinum,Flower,Girl Scout Cookies,2,41.31,82.62,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN008722,CUST01027,2024-07-02,19:38,46-55,Phoenix,AZ,19589,Platinum,Topicals,CBD Lotion 100mg,1,39.12,39.12,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN012690,CUST01162,2024-07-02,19:44,26-35,Seattle,WA,38859,Gold,Flower,Sour Diesel,1,39.29,39.29,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN023190,CUST00775,2024-07-02,12:45,18-25,Los Angeles,CA,62462,Standard,Flower,Gelato,1,44.42,44.42,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN027360,CUST01042,2024-07-02,13:21,18-25,Los Angeles,CA,33991,Silver,Vapes,Disposable Vape,2,30.82,61.64,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN038300,CUST00827,2024-07-02,14:22,26-35,Las Vegas,NV,61490,Standard,Vapes,Hybrid Cart 0.5g,1,33.32,33.32,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN039600,CUST00383,2024-07-02,13:12,36-45,San Diego,CA,60617,Standard,Topicals,THC Balm 200mg,1,35.61,35.61,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN040110,CUST00913,2024-07-02,12:01,18-25,Las Vegas,NV,14130,Platinum,Flower,Girl Scout Cookies,2,42.78,85.56,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN040111,CUST00913,2024-07-02,11:30,18-25,Las Vegas,NV,46208,Platinum,Accessories,Lighter,1,2.93,2.93,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN049310,CUST00361,2024-07-02,12:56,18-25,Seattle,WA,27651,Silver,Concentrates,Wax 1g,2,48.36,96.72,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN049311,CUST00361,2024-07-02,09:06,18-25,Seattle,WA,17735,Silver,Edibles,Cookies 50mg,1,17.86,17.86,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN051370,CUST00302,2024-07-02,18:22,26-35,San Francisco,CA,35696,Gold,Vapes,Disposable Vape,1,30.88,30.88,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN051371,CUST00302,2024-07-02,16:02,26-35,San Francisco,CA,38009,Gold,Vapes,Hybrid Cart 0.5g,1,35.9,35.9,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN051372,CUST00302,2024-07-02,12:24,26-35,San Francisco,CA,28375,Gold,Accessories,Grinder,1,24.8,24.8,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN051373,CUST00302,2024-07-02,20:11,26-35,San Francisco,CA,48607,Gold,Vapes,Sativa Cart 0.5g,1,34.07,34.07,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN058720,CUST00590,2024-07-02,11:30,26-35,Tucson,AZ,52395,Platinum,Vapes,Indica Cart 0.5g,1,35.2,35.2,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN058721,CUST00590,2024-07-02,15:55,26-35,Tucson,AZ,18339,Platinum,Edibles,Chocolate Bar 100mg,1,22.78,22.78,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN060580,CUST00462,2024-07-02,16:46,36-45,Portland,OR,42164,Standard,Vapes,Sativa Cart 0.5g,1,34.83,34.83,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN076500,CUST00438,2024-07-02,13:37,56+,Denver,CO,55592,Gold,Edibles,Cookies 50mg,1,18.04,18.04,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN077040,CUST00730,2024-07-02,15:55,46-55,San Diego,CA,88597,Gold,Accessories,Glass Pipe,1,29.58,29.58,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN077041,CUST00730,2024-07-02,11:14,46-55,San Diego,CA,44479,Standard,Concentrates,Wax 1g,1,48.58,48.58,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN077042,CUST00730,2024-07-02,11:48,46-55,San Diego,CA,90579,Gold,Edibles,Chocolate Bar 100mg,1,22.42,22.42,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN077043,CUST00730,2024-07-02,17:31,46-55,San Diego,CA,45126,Gold,Vapes,Hybrid Cart 0.5g,1,34.54,34.54,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN077740,CUST00650,2024-07-02,15:41,36-45,San Francisco,CA,70664,Silver,Topicals,CBD Lotion 100mg,2,41.47,82.94,Cash,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079200,CUST00759,2024-07-02,16:31,18-25,San Francisco,CA,26244,Platinum,Edibles,Cookies 50mg,1,18.29,18.29,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079201,CUST00759,2024-07-02,20:24,18-25,San Francisco,CA,10015,Platinum,Vapes,Hybrid Cart 0.5g,3,34.54,103.62,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079870,CUST00641,2024-07-02,11:59,36-45,Denver,CO,39588,Standard,Flower,Sour Diesel,1,38.44,38.44,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079871,CUST00641,2024-07-02,19:06,36-45,Denver,CO,64726,Standard,Flower,OG Kush,1,39.71,39.71,Digital Wallet,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079872,CUST00641,2024-07-02,18:18,36-45,Denver,CO,63801,Standard,Flower,OG Kush,1,38.48,38.48,Debit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN079873,CUST00641,2024-07-02,16:53,36-45,Denver,CO,50594,Standard,Flower,Wedding Cake,1,46.51,46.51,Credit Card,7,3,2024,2024-07,Tuesday,2024-07-02,0
TXN001580,CUST00564,2024-07-03,12:20,18-25,Denver,CO,42540,Platinum,Edibles,Chocolate Bar 100mg,2,22.79,45.58,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN004190,CUST00564,2024-07-03,17:01,26-35,Los Angeles,CA,98029,Platinum,Accessories,Lighter,1,3.01,3.01,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN004191,CUST00564,2024-07-03,15:11,26-35,Los Angeles,CA,11105,Platinum,Vapes,Indica Cart 0.5g,1,36.09,36.09,Cash,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN009180,CUST00327,2024-07-03,13:48,18-25,Los Angeles,CA,21793,Standard,Flower,Wedding Cake,1,43.2,43.2,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN012790,CUST01121,2024-07-03,09:25,26-35,Tucson,AZ,14356,Silver,Accessories,Rolling Papers,1,4.88,4.88,Debit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN012791,CUST01121,2024-07-03,14:41,26-35,Tucson,AZ,53927,Silver,Flower,Sour Diesel,1,36.8,36.8,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN012792,CUST01121,2024-07-03,11:18,26-35,Tucson,AZ,22527,Silver,Accessories,Rolling Papers,1,5.21,5.21,Debit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN013230,CUST01094,2024-07-03,20:31,56+,San Diego,CA,18387,Gold,Vapes,Sativa Cart 0.5g,1,34.44,34.44,Cash,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN014440,CUST00706,2024-07-03,19:14,36-45,Boulder,CO,56838,Standard,Accessories,Grinder,2,24.31,48.62,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN020570,CUST00543,2024-07-03,09:46,18-25,Boulder,CO,65418,Platinum,Flower,Sour Diesel,1,39.37,39.37,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN025450,CUST00502,2024-07-03,09:55,36-45,Phoenix,AZ,86371,Gold,Flower,Sour Diesel,1,38.63,38.63,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN025451,CUST00502,2024-07-03,20:36,36-45,Phoenix,AZ,60487,Gold,Concentrates,Wax 1g,1,47.17,47.17,Debit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN026580,CUST00824,2024-07-03,20:06,18-25,Denver,CO,88091,Gold,Concentrates,Shatter 1g,1,45.29,45.29,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN044630,CUST01169,2024-07-03,10:22,56+,Denver,CO,60698,Silver,Topicals,Massage Oil 200mg,3,44.84,134.52,Cash,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN049770,CUST00875,2024-07-03,11:25,26-35,Los Angeles,CA,72482,Gold,Concentrates,Rosin 1g,2,57.73,115.46,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN053330,CUST00772,2024-07-03,17:39,18-25,Boulder,CO,12694,Gold,Flower,Granddaddy Purple,2,39.44,78.88,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN055540,CUST01137,2024-07-03,19:35,18-25,Boulder,CO,41969,Platinum,Concentrates,Shatter 1g,1,42.92,42.92,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN055541,CUST01137,2024-07-03,10:10,18-25,Boulder,CO,94092,Platinum,Accessories,Storage Container,3,15.07,45.21,Cash,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN065860,CUST00504,2024-07-03,17:34,36-45,San Francisco,CA,49745,Gold,Accessories,Glass Pipe,1,29.45,29.45,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN065861,CUST00504,2024-07-03,15:48,36-45,San Francisco,CA,90349,Gold,Vapes,Hybrid Cart 0.5g,2,34.47,68.94,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN071280,CUST00118,2024-07-03,11:16,26-35,Tucson,AZ,45728,Silver,Edibles,Cookies 50mg,1,18.28,18.28,Debit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN071281,CUST00118,2024-07-03,15:59,26-35,Tucson,AZ,17607,Silver,Topicals,THC Balm 200mg,3,36.49,109.47,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN075120,CUST00359,2024-07-03,19:55,46-55,Boulder,CO,77135,Platinum,Accessories,Grinder,1,24.27,24.27,Digital Wallet,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN075121,CUST00359,2024-07-03,14:37,46-55,Boulder,CO,63258,Platinum,Vapes,Hybrid Cart 0.5g,1,36.18,36.18,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN075122,CUST00359,2024-07-03,12:04,46-55,Boulder,CO,99721,Platinum,Edibles,Hard Candy 100mg,2,19.72,39.44,Credit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN075870,CUST00879,2024-07-03,15:23,46-55,Tucson,AZ,65792,Standard,Concentrates,Live Resin 1g,1,51.55,51.55,Debit Card,7,3,2024,2024-07,Wednesday,2024-07-03,0
TXN001790,CUST00735,2024-07-04,10:19,46-55,Tucson,AZ,62096,Silver,Edibles,Chocolate Bar 100mg,1,23.05,23.05,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN007350,CUST01015,2024-07-04,20:31,26-35,Denver,CO,89358,Standard,Vapes,Hybrid Cart 0.5g,1,33.92,33.92,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN007351,CUST01015,2024-07-04,16:11,26-35,Denver,CO,76530,Standard,Accessories,Grinder,1,25.58,25.58,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN007440,CUST00089,2024-07-04,19:12,56+,Las Vegas,NV,88326,Silver,Concentrates,Distillate 1g,3,55.58,166.74,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN007441,CUST00089,2024-07-04,17:51,56+,Las Vegas,NV,76077,Silver,Topicals,CBD Lotion 100mg,1,38.24,38.24,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN008190,CUST00940,2024-07-04,18:33,36-45,Portland,OR,83585,Platinum,Flower,Pineapple Express,2,34.51,69.02,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN008191,CUST00940,2024-07-04,10:39,36-45,Portland,OR,14257,Platinum,Flower,Sour Diesel,1,38.2,38.2,Cash,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN008320,CUST00111,2024-07-04,20:48,18-25,Portland,OR,65685,Platinum,Flower,Gelato,1,42.28,42.28,Cash,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN008321,CUST00111,2024-07-04,10:24,56+,Portland,OR,71846,Platinum,Concentrates,Wax 1g,1,48.62,48.62,Cash,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN012660,CUST01120,2024-07-04,12:50,18-25,San Diego,CA,49302,Standard,Topicals,CBD Lotion 100mg,1,41.77,41.77,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN015130,CUST01183,2024-07-04,19:55,18-25,Portland,OR,18932,Gold,Flower,Wedding Cake,1,44.99,44.99,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN015131,CUST01183,2024-07-04,14:41,36-45,Portland,OR,12347,Gold,Flower,Granddaddy Purple,1,36.6,36.6,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN015132,CUST01183,2024-07-04,13:17,36-45,Portland,OR,32388,Gold,Flower,Pineapple Express,1,36.65,36.65,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN019140,CUST00515,2024-07-04,20:49,46-55,Denver,CO,83849,Gold,Vapes,Hybrid Cart 0.5g,1,33.99,33.99,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN019141,CUST00515,2024-07-04,19:03,46-55,Denver,CO,70737,Gold,Vapes,Disposable Vape,1,28.94,28.94,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN019142,CUST00515,2024-07-04,15:45,46-55,Denver,CO,75565,Gold,Accessories,Grinder,1,25.97,25.97,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN027410,CUST00301,2024-07-04,11:51,18-25,Portland,OR,47221,Silver,Topicals,THC Balm 200mg,1,34.73,34.73,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN030630,CUST01183,2024-07-04,14:17,46-55,Tucson,AZ,10825,Silver,Flower,Girl Scout Cookies,1,43.46,43.46,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN032370,CUST00551,2024-07-04,10:19,36-45,Tucson,AZ,60648,Silver,Accessories,Storage Container,1,14.99,14.99,Cash,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN035080,CUST00512,2024-07-04,15:05,56+,Seattle,WA,90060,Standard,Vapes,Sativa Cart 0.5g,1,35.25,35.25,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN035081,CUST00512,2024-07-04,19:43,56+,Seattle,WA,60013,Silver,Accessories,Grinder,1,25.09,25.09,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN042150,CUST01000,2024-07-04,13:26,36-45,San Francisco,CA,62245,Gold,Topicals,THC Balm 200mg,1,36.51,36.51,Debit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN052940,CUST00529,2024-07-04,09:09,46-55,Denver,CO,74171,Standard,Edibles,Mints 50mg,1,15.16,15.16,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN052941,CUST00529,2024-07-04,19:37,46-55,Denver,CO,39144,Standard,Edibles,Hard Candy 100mg,2,20.66,41.32,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN055760,CUST00231,2024-07-04,14:15,56+,Seattle,WA,41178,Gold,Flower,Granddaddy Purple,1,38.61,38.61,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN059060,CUST00840,2024-07-04,19:37,36-45,Seattle,WA,70807,Platinum,Topicals,THC Balm 200mg,1,36.34,36.34,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN060280,CUST00640,2024-07-04,12:39,36-45,Seattle,WA,41629,Standard,Vapes,Hybrid Cart 0.5g,3,34.45,103.35000000000001,Credit Card,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN071220,CUST00341,2024-07-04,12:38,46-55,Denver,CO,21224,Standard,Accessories,Grinder,1,23.96,23.96,Cash,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN079160,CUST01179,2024-07-04,16:40,18-25,San Francisco,CA,10134,Platinum,Flower,Wedding Cake,1,43.91,43.91,Digital Wallet,7,3,2024,2024-07,Thursday,2024-07-04,0
TXN003530,CUST00203,2024-07-05,14:24,56+,Denver,CO,65586,Platinum,Topicals,THC Balm 200mg,1,36.6,36.6,Debit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN015610,CUST00911,2024-07-05,16:33,26-35,Las Vegas,NV,23534,Platinum,Concentrates,Rosin 1g,1,58.21,58.21,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN019250,CUST01039,2024-07-05,14:37,26-35,Boulder,CO,33693,Platinum,Accessories,Glass Pipe,2,28.55,57.1,Cash,7,3,2024,2024-07,Friday,2024-07-05,0
TXN019251,CUST01039,2024-07-05,15:24,26-35,Boulder,CO,84129,Platinum,Concentrates,Distillate 1g,1,54.87,54.87,Debit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN019920,CUST00852,2024-07-05,16:29,26-35,San Diego,CA,58983,Standard,Concentrates,Distillate 1g,1,55.78,55.78,Cash,7,3,2024,2024-07,Friday,2024-07-05,0
TXN020000,CUST00152,2024-07-05,15:46,18-25,Portland,OR,21127,Gold,Vapes,Live Resin Cart 0.5g,1,45.33,45.33,Debit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN020001,CUST00152,2024-07-05,17:57,18-25,Portland,OR,31826,Gold,Vapes,Hybrid Cart 0.5g,1,36.19,36.19,Debit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN024700,CUST00098,2024-07-05,11:47,46-55,Phoenix,AZ,91234,Gold,Concentrates,Distillate 1g,1,53.82,53.82,Cash,7,3,2024,2024-07,Friday,2024-07-05,0
TXN024701,CUST00098,2024-07-05,14:02,46-55,Phoenix,AZ,82875,Gold,Flower,Granddaddy Purple,1,38.91,38.91,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN030260,CUST00322,2024-07-05,12:29,46-55,Seattle,WA,27855,Gold,Accessories,Storage Container,2,15.69,31.38,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN044260,CUST00584,2024-07-05,10:48,46-55,Boulder,CO,24141,Standard,Flower,Sour Diesel,1,38.62,38.62,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN044261,CUST00584,2024-07-05,20:22,46-55,Boulder,CO,58657,Standard,Vapes,Sativa Cart 0.5g,2,33.9,67.8,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN045410,CUST00232,2024-07-05,12:31,46-55,Boulder,CO,93265,Silver,Topicals,CBD Lotion 100mg,1,38.55,38.55,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN052360,CUST00424,2024-07-05,18:34,36-45,Denver,CO,74299,Gold,Edibles,Brownies 100mg,1,20.13,20.13,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN052361,CUST00424,2024-07-05,10:55,36-45,Denver,CO,84331,Gold,Vapes,Live Resin Cart 0.5g,1,45.3,45.3,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN063650,CUST00842,2024-07-05,12:20,36-45,Denver,CO,18632,Standard,Vapes,Live Resin Cart 0.5g,1,43.55,43.55,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN065140,CUST01034,2024-07-05,18:44,36-45,San Diego,CA,79827,Platinum,Topicals,CBD Lotion 100mg,1,40.65,40.65,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN065141,CUST01034,2024-07-05,09:11,36-45,San Diego,CA,23720,Platinum,Vapes,Indica Cart 0.5g,1,35.13,35.13,Credit Card,7,3,2024,2024-07,Friday,2024-07-05,0
TXN068900,CUST01114,2024-07-05,13:58,18-25,Denver,CO,22901,Gold,Vapes,Disposable Vape,1,31.47,31.47,Digital Wallet,7,3,2024,2024-07,Friday,2024-07-05,0
TXN010580,CUST00254,2024-07-06,14:51,56+,San Diego,CA,33522,Gold,Vapes,Sativa Cart 0.5g,2,33.26,66.52,Credit Card,7,3,2024,2024-07,Saturday,2024-07-06,0
TXN011500,CUST00903,2024-07-06,10:44,46-55,Los Angeles,CA,89118,Gold,Edibles,Cookies 50mg,1,18.2,18.2,Cash,7,3,2024,2024-07,Saturday,2024-07-06,0
TXN017060,CUST01189,2024-07-06,20:28,18-25,San Francisco,CA,37246,Standard,Topicals,Massage Oil 200mg,1,47.12,47.12,Credit Card,7,3,2024,2024-07,Saturday,2024-07-06,0
TXN031170,CUST01120,2024-07-06,12:16,46-55,Portland,OR,47221,Standard,Concentrates,Shatter 1g,1,43.79,43.79,Cash,7,3,2024,2024-07,Saturday,2024-07-04,2
TXN031171,CUST01120,2024-07-06,20:24,46-55,Portland,OR,77698,Standard,Concentrates,Rosin 1g,1,62.43,62.43,Debit Card,7,3,2024,2024-07,Saturday,2024-07-04,2
TXN039570,CUST00213,2024-07-06,19:22,36-45,San Diego,CA,96729,Standard,Concentrates,Rosin 1g,1,57.24,57.24,Debit Card,7,3,2024,2024-07,Saturday,2024-07-06,0
